name,id,nametype,recclass,mass,year,reclat,reclong
Elenovka,7824,Valid,L5,54640,1951-01-01T00:00:00.000,47.833330,37.666670
Ellemeet,10019,Valid,Diogenite,1470,1925-01-01T00:00:00.000,51.750000,4.000000
Emmaville,10033,Valid,Eucrite-mmict,127,1900-01-01T00:00:00.000,-29.466670,151.616670
Enshi,10038,Valid,H5,8000,1974-01-01T00:00:00.000,30.300000,109.500000
Ensisheim,10039,Valid,LL6,127000,1492-01-01T00:00:00.000,47.866670,7.350000
Épinal,10041,Valid,H5,277,1822-01-01T00:00:00.000,48.183330,6.466670
Erakot,10042,Valid,CM2,113,1940-01-01T00:00:00.000,19.033330,81.891670
Erevan,10043,Valid,Howardite,107.2,1911-01-01T00:00:00.000,40.300000,44.500000
Ergheo,10044,Valid,L5,20000,1889-01-01T00:00:00.000,1.166670,44.166670
Erxleben,10049,Valid,H6,2250,1812-01-01T00:00:00.000,52.216670,11.250000
Esnandes,10051,Valid,L6,1500,1837-01-01T00:00:00.000,46.250000,-1.100000
Essebi,10055,Valid,C2-ung,500,1957-01-01T00:00:00.000,2.883330,30.833330
Estherville,10059,Valid,Mesosiderite-A3/4,320000,1879-01-01T00:00:00.000,43.416670,-94.833330
Farmington,10074,Valid,L5,89400,1890-01-01T00:00:00.000,39.750000,-97.033330
Farmville,10075,Valid,H4,56000,1934-01-01T00:00:00.000,35.550000,-77.533330
Favars,10078,Valid,H5,1500,1844-01-01T00:00:00.000,44.383330,2.816670
Fayetteville,10079,Valid,H4,2360,1934-01-01T00:00:00.000,36.050000,-94.166670
Feid Chair,10080,Valid,H4,380,1875-01-01T00:00:00.000,36.883330,8.450000
Felix,10081,Valid,CO3.3,3200,1900-01-01T00:00:00.000,32.533330,-87.166670
Fenghsien-Ku,10086,Valid,H5,82,1924-01-01T00:00:00.000,34.600000,116.750000
Ferguson,10088,Valid,OC,220,1889-01-01T00:00:00.000,36.100000,-81.416670
Fermo,10091,Valid,H3-5,10200,1996-01-01T00:00:00.000,43.181110,13.753330
Fisher,10107,Valid,L6,17600,1894-01-01T00:00:00.000,47.816670,-96.850000
Florence,10111,Valid,H3,3640,1922-01-01T00:00:00.000,30.833330,-97.766670
